Symbol,AssetType,Name,Description,Sector,Industry
PPC,Common Stock,Pilgrims Pride Corp,"Pilgrim's Pride Corporation produces, processes, markets and distributes fresh, frozen and value-added chicken and pork products to retailers, distributors and food service operators in the United States, the United Kingdom, Mexico, France, Puerto Rico, the Countries Low, rest of Europe, Middle East, Asia and internationally. The company is headquartered in Greeley, Colorado.",MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING
VMI,Common Stock,Valmont Industries Inc,"Valmont Industries, Inc. produces and sells metal products manufactured in the United States, Australia, Denmark, and internationally. The company is headquartered in Omaha, Nebraska.",MANUFACTURING,FABRICATED STRUCTURAL METAL PRODUCTS
YUM,Common Stock,Yum! Brands Inc,"Yum! Brands, Inc. is an American fast food corporation listed on the Fortune 1000. Yum! operates the brands KFC, Pizza Hut, Taco Bell, The Habit Burger Grill, and WingStreet worldwide, except in China, where the brands are operated by a separate company, Yum China.",TRADE & SERVICES,RETAIL-EATING PLACES
SAP,Common Stock,SAP SE ADR,"SAP SE is a global enterprise application software company. The company is headquartered in Walldorf, Germany.",TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE
HSY,Common Stock,Hershey Co,"The Hershey Company, commonly known as Hershey's, is an American multinational company and one of the largest chocolate manufacturers in the world. It also manufactures baked products, such as cookies and cakes, and sells beverages like milkshakes, and many more that are produced globally. Its headquarters are in Hershey, Pennsylvania.",MANUFACTURING,SUGAR & CONFECTIONERY PRODUCTS
ADM,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",MANUFACTURING,FATS & OILS
TSN,Common Stock,Tyson Foods Inc,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry.",MANUFACTURING,POULTRY SLAUGHTERING AND PROCESSING
AGCO,Common Stock,AGCO Corporation,"AGCO Corporation manufactures and distributes agricultural equipment and related spare parts worldwide. The company is headquartered in Duluth, Georgia.",TECHNOLOGY,FARM MACHINERY & EQUIPMENT
KDP,Common Stock,Keurig Dr Pepper Inc,"Keurig Dr Pepper Inc. is a beverage company in the United States and internationally. The company is headquartered in Burlington, Massachusetts.",MANUFACTURING,BEVERAGES
PEP,Common Stock,PepsiCo Inc,"PepsiCo, Inc. is an American based multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo's business encompasses all aspects of the food and beverage market. It oversees the manufacturing, distribution, and marketing of its products.",MANUFACTURING,BEVERAGES
CNHI,Common Stock,CNH Industrial N.V.,"CNH Industrial NV designs, produces, markets, sells, and finances agricultural and construction equipment, trucks, commercial vehicles, buses, and specialty vehicles in North America, Europe, South America, and internationally. The company is headquartered in London, the United Kingdom.",TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP
MNST,Common Stock,Monster Beverage Corp,"Monster Beverage Corporation is an American beverage company that manufactures energy drinks including Monster Energy, Relentless and Burn.",MANUFACTURING,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
WEN,Common Stock,The Wendy’s Co,"The Wendy's Company, is a quick service restaurant business. The company is headquartered in Dublin, Ohio.",TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES
DE,Common Stock,Deere & Company,"John Deere is the brand name of Deere & Company, an American corporation that manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains (axles, transmissions, gearboxes) used in heavy equipment, and lawn care equipment.",TECHNOLOGY,FARM MACHINERY & EQUIPMENT
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP
COKE,Common Stock,Coca-Cola Consolidated Inc.,"Coca-Cola Consolidated, Inc. produces, markets and distributes non-alcoholic beverages primarily products of The Coca-Cola Company in the United States. The company is headquartered in Charlotte, North Carolina.",MANUFACTURING,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
DIA,ETF,SPDR Dow Jones Industrial Average ETF Trust,The DIA stock price tracks the performance of the Dow Jones Industrial Index,MULTIPLE,MULTIPLE
ONEQ,ETF,Fidelity Nasdaq Composite Index ETF,The ONEQ stock price tracks the performance of the Nasdaq Composite Index,MULTIPLE,MULTIPLE
SPY,ETF,SPDR S&P 500 ETF Trust (SPY),The SPY stock price tracks the performance of the S&P 500 Index,MULTIPLE,MULTIPLE
VOO,ETF,Vanguard 500 Index Fund (VOO),The VOO stock price tracks the performance of the S&P 500 Index,MULTIPLE,MULTIPLE
